0,0,40,40,0,0,0
1,18,22,22,1,3,16
2,26,36,26,2,5,16
3,11,21,45,3,8,16
4,30,45,35,4,13,16
5,21,55,20,5,17,16
6,19,33,34,6,20,16
7,15,50,50,7,20,16
8,16,55,45,8,20,16
9,29,26,59,9,22,16
10,26,40,66,10,24,16
11,37,55,65,11,25,16
12,16,35,51,12,30,16
13,12,62,35,13,32,16
14,31,62,57,14,34,16
15,9,62,24,15,42,16
16,19,21,36,16,42,16
17,20,33,44,17,47,16
18,13,9,56,18,66,16
19,15,62,48,19,71,16
20,22,66,14,20,79,16
21,28,44,13,21,84,16
22,12,26,13,22,84,16
23,6,11,28,23,85,16
24,27,7,43,24,87,16
25,14,17,64,25,101,16
26,18,41,46,26,107,16
27,17,55,34,27,108,16
28,29,35,16,28,109,16
29,13,52,26,29,112,16
30,22,43,26,30,119,16
31,25,31,76,31,121,16
32,28,22,53,32,122,16
33,27,26,29,33,128,16
34,19,50,40,34,131,16
35,10,55,50,35,135,16
36,12,54,10,36,138,16
37,14,60,15,37,150,16
38,24,47,66,38,152,16
39,16,30,60,39,152,16
40,33,30,50,40,181,16
41,15,12,17,41,182,16
42,11,15,14,42,189,16
43,18,16,19,43,196,16
44,17,21,48,44,199,16
45,21,50,30,45,203,16
46,27,51,42,46,210,16
47,19,50,15,47,216,16
48,20,48,21,48,217,16
49,5,12,38,49,231,16
50,22,15,56,50,231,16
51,12,29,39,51,235,16
52,19,54,38,52,237,16
53,22,55,57,53,237,16
54,16,67,41,54,245,16
55,7,10,70,55,251,16
56,26,6,25,56,253,16
57,14,65,27,57,254,16
58,21,40,60,58,258,16
59,24,70,64,59,258,16
60,13,64,4,60,268,16
61,15,36,6,61,284,16
62,18,30,20,62,284,16
63,11,20,30,63,300,16
64,28,15,5,64,305,16
65,9,50,70,65,313,16
66,37,57,72,66,321,16
67,30,45,42,67,322,16
68,10,38,33,68,328,16
69,8,50,4,69,333,16
70,11,66,8,70,335,16
71,3,59,5,71,336,16
72,1,35,60,72,337,16
73,6,27,24,73,338,16
74,10,40,20,74,343,16
75,20,40,37,75,345,16
