0,0,35,35,0,0,0
1,10,41,49,1,1,9
2,7,35,17,2,3,9
3,13,55,45,3,5,9
4,19,55,20,4,5,9
5,26,15,30,5,6,9
6,3,25,30,6,10,9
7,5,20,50,7,13,9
8,9,10,43,8,13,9
9,16,55,60,9,17,9
10,16,30,60,10,18,9
11,12,20,65,11,19,9
12,19,50,35,12,19,9
13,23,30,25,13,24,9
14,20,15,10,14,25,9
15,8,30,5,15,25,9
16,19,10,20,16,25,9
17,2,5,30,17,30,9
18,12,20,40,18,32,9
19,17,15,60,19,33,9
20,9,45,65,20,33,9
21,11,45,20,21,38,9
22,18,45,10,22,39,9
23,29,55,5,23,39,9
24,3,65,35,24,43,9
25,6,65,20,25,44,9
26,17,45,30,26,46,9
27,16,35,40,27,47,9
28,16,41,37,28,48,9
29,9,64,42,29,50,9
30,21,40,60,30,52,9
31,27,31,52,31,52,9
32,23,35,69,32,53,9
33,11,53,52,33,55,9
34,14,65,55,34,56,9
35,8,63,65,35,58,9
36,5,2,60,36,61,9
37,8,20,20,37,62,9
38,16,5,5,38,65,9
39,31,60,12,39,66,9
40,9,40,25,40,66,9
41,5,42,7,41,66,9
42,5,24,12,42,68,9
43,7,23,3,43,69,9
44,18,11,14,44,72,9
45,16,6,38,45,72,9
46,1,2,48,46,76,9
47,27,8,56,47,78,9
48,36,13,52,48,85,9
49,30,6,68,49,90,9
50,13,47,47,50,91,9
51,10,49,58,51,91,9
52,9,27,43,52,98,9
53,14,37,31,53,100,9
54,18,57,29,54,104,9
55,2,63,23,55,111,9
56,6,53,12,56,113,9
57,7,32,12,57,116,9
58,18,36,26,58,118,9
59,28,21,24,59,118,9
60,3,17,34,60,122,9
61,13,12,24,61,122,9
62,19,24,58,62,124,9
63,10,27,69,63,124,9
64,9,15,77,64,129,9
65,20,62,77,65,130,9
66,25,49,73,66,130,9
67,25,67,5,67,132,9
68,36,56,39,68,133,9
69,6,37,47,69,136,9
70,5,37,56,70,138,9
71,15,57,68,71,143,9
72,25,47,16,72,144,9
73,9,44,17,73,144,9
74,8,46,13,74,146,9
75,18,49,11,75,147,9
76,13,49,42,76,148,9
77,14,53,43,77,152,9
78,3,61,52,78,157,9
79,23,57,48,79,158,9
80,6,56,37,80,160,9
81,26,55,54,81,161,9
82,16,15,47,82,164,9
83,11,14,37,83,166,9
84,7,11,31,84,166,9
85,41,16,22,85,169,9
86,35,4,18,86,177,9
87,26,28,18,87,178,9
88,9,26,52,88,189,9
89,15,26,35,89,190,9
90,3,31,67,90,191,9
91,1,15,19,91,194,9
92,2,22,22,92,194,9
93,22,18,24,93,196,9
94,27,26,27,94,200,9
95,20,25,24,95,204,9
96,11,22,27,96,205,9
97,12,25,21,97,205,9
98,10,19,21,98,205,9
99,9,20,26,99,207,9
100,17,18,18,100,209,9
101,7,37,52,101,212,9
102,30,49,49,102,215,9
103,16,52,64,103,218,9
104,9,20,26,104,223,9
105,21,40,30,105,225,9
106,15,21,47,106,232,9
107,19,17,63,107,236,9
108,23,31,62,108,241,9
109,11,52,33,109,245,9
110,5,51,21,110,246,9
111,19,42,41,111,246,9
112,29,31,32,112,246,9
113,23,5,25,113,254,9
114,21,12,42,114,255,9
115,10,36,16,115,255,9
116,15,52,41,116,257,9
117,3,27,23,117,258,9
118,41,17,33,118,263,9
119,9,13,13,119,263,9
120,28,57,58,120,265,9
121,8,62,42,121,266,9
122,8,42,57,122,268,9
123,16,16,57,123,269,9
124,10,8,52,124,269,9
125,28,7,38,125,273,9
126,7,27,68,126,274,9
127,15,30,48,127,275,9
128,14,43,67,128,279,9
129,6,58,48,129,279,9
130,19,58,27,130,282,9
131,11,37,69,131,283,9
132,12,38,46,132,285,9
133,23,46,10,133,286,9
134,26,61,33,134,287,9
135,17,62,63,135,290,9
136,6,63,69,136,290,9
137,9,32,22,137,296,9
138,15,45,35,138,297,9
139,14,59,15,139,297,9
140,7,5,6,140,301,9
141,27,10,17,141,302,9
142,13,21,10,142,304,9
143,11,5,64,143,304,9
144,16,30,15,144,307,9
145,10,39,10,145,308,9
146,5,32,39,146,309,9
147,25,25,32,147,311,9
148,17,25,55,148,312,9
149,18,48,28,149,318,9
150,10,56,37,150,319,9
151,18,22,22,151,321,9
152,26,36,26,152,321,9
153,11,21,45,153,324,9
154,30,45,35,154,327,9
155,21,55,20,155,329,9
156,19,33,34,156,329,9
157,15,50,50,157,334,9
158,16,55,45,158,335,9
159,29,26,59,159,335,9
160,26,40,66,160,336,9
161,37,55,65,161,337,9
162,16,35,51,162,337,9
163,12,62,35,163,339,9
164,31,62,57,164,340,9
165,8,62,24,165,341,9
166,19,21,36,166,343,9
167,20,33,44,167,344,9
168,13,9,56,168,345,9
169,15,62,48,169,346,9
170,22,66,14,170,346,9
171,28,44,13,171,347,9
172,12,26,13,172,351,9
173,6,11,28,173,353,9
174,27,7,43,174,354,9
175,14,17,64,175,355,9
176,18,41,46,176,357,9
177,17,55,34,177,363,9
178,29,35,16,178,363,9
179,13,52,26,179,364,9
180,22,43,26,180,364,9
181,25,31,76,181,367,9
182,28,22,53,182,368,9
183,27,26,29,183,371,9
184,19,50,40,184,371,9
185,10,55,50,185,375,9
186,12,54,10,186,376,9
187,14,60,15,187,380,9
188,24,47,66,188,382,9
189,16,30,60,189,382,9
190,33,30,50,190,382,9
191,15,12,17,191,382,9
192,11,15,14,192,383,9
193,18,16,19,193,387,9
194,17,21,48,194,388,9
195,21,50,30,195,388,9
196,27,51,42,196,390,9
197,19,50,15,197,392,9
198,20,48,21,198,392,9
199,5,12,38,199,,9
